change,rig
0,0.07697169064603848
1,0.14714178102209974
10,0.1495989842711164
11,0.023058160891439416
12,0.02971897395205292
13,0.02279816293903958
14,0.03782495498768901
15,0.03933484589412639
16,0.028779149336609744
17,0.03440247229670734
18,0.0441268881802902
19,0.0753810186426156
2,0.13292354373941506
20,0.07041008357860035
21,0.09248105600552659
22,0.1873707610194254
23,0.23865014720115485
24,0.022794188472709642
25,0.022160732335138822
26,0.033355082719179974
27,0.030985311164713703
28,0.028373048435345938
29,0.019238620404941287
3,0.14445496524180956
30,0.01997311840067373
31,0.022452062816719187
32,0.03804256088970126
33,-0.013038158775750652
34,0.026632809709328353
35,0.026581355963923192
36,0.030116106472439452
37,0.028735712309470807
38,0.02887209206737773
39,0.03554954729082893
4,0.02295677100152238
40,0.038154084649430264
41,0.0269103567242156
42,0.03407423569189849
43,0.042471487929359286
44,0.05574583066186167
45,0.021627706489405707
46,0.030505268429659282
47,0.031073732393790632
48,0.030550352448295404
49,0.039416660312687646
5,0.03126101647737489
50,0.025287369698668516
51,0.032754577514237826
52,0.026107150098596987
53,0.021127242770081267
54,0.030209515150127597
55,0.026366517045676607
56,0.031079688357002033
57,0.018380617835753954
58,0.019702721796739375
59,0.030032636521021394
6,0.024328428783794376
60,-0.012791124298988432
61,0.021789022594851604
62,0.029188380880494358
63,0.020395058144093148
64,0.01949252103876653
65,0.02342762283482669
66,0.023539615566100625
67,0.0237109676500874
68,0.02347516441239761
69,0.0246415839789077
7,0.027626595233715356
70,0.02427382012251711
71,0.036482091728272326
72,0.024257805939473243
73,0.024269927791684798
74,0.024269951431172165
75,0.024270076002488872
76,0.024269927791684798
77,0.024269874730379892
78,0.024269834663879886
79,0.024269927791684798
8,0.09139278788676442
80,0.024269927791684798
81,0.1554045937562426
82,0.1761853222309553
83,0.18514354666262
84,0.1861464287539384
85,0.1864668119884656
86,0.18647041667281428
87,0.18645454168679054
88,0.18645454168679054
89,0.18645454168679054
9,0.1014406712945759
90,0.03804182589748928
91,0.03797146364654724
92,0.02427382012251711
93,0.02427382012251711
94,0.02427382012251711
95,0.02427382012251711
96,0.02427382012251711
97,0.02427382012251711
98,0.9985502828799538
99,0.9985502828799538
